Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Age_Std_Rate_Aust,Age_Std_Rate_Segi,Age_Std_Rate_WHO
1969,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.754424,0.459854,2.072593,4.456223,7.096520,14.843286,22.169578,36.311683,55.869734,112.978798,148.749387,232.222108,277.146106,439.176676,0.000000,33.688802,18.869182,22.303523
1970,Male,Mortality,Bowel cancer,0.000000,0.000000,0.164012,0.000000,0.181356,1.090567,2.501307,5.553807,8.322115,13.238626,21.685089,43.350818,64.878531,92.543776,166.118531,223.089066,258.185659,310.776942,0.000000,32.051901,18.481282,21.703757
1971,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.171955,0.602974,2.113559,3.344396,6.971556,15.211962,25.053644,44.035764,61.002528,110.741387,137.746468,253.132027,292.110728,322.932991,0.000000,33.191122,18.858406,22.314187
1972,Male,Mortality,Bowel cancer,0.000000,0.157904,0.000000,0.000000,0.347942,0.374991,2.724029,4.577741,7.991476,13.486772,24.391212,47.602085,70.124861,116.438918,141.800948,191.871845,256.727846,439.001848,0.000000,33.501517,19.455618,22.624246
1973,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.165854,0.172739,0.715228,2.434275,6.248266,7.184317,14.549722,22.640171,35.112702,76.779933,102.711381,145.285168,243.193165,308.690303,399.786780,0.000000,34.502437,19.480035,23.007264
1974,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.340747,1.213001,2.126325,5.830167,10.093644,13.516384,25.131745,45.969916,76.960006,124.717324,156.518580,242.118473,302.168901,347.594730,0.000000,35.661320,20.733969,24.251752
1975,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.158866,0.169946,0.506943,1.643237,4.000113,9.263882,16.835665,30.717208,43.581143,67.734652,99.730586,184.336869,217.287488,306.449050,468.110006,0.000000,36.552477,20.685840,24.317358
1976,Male,Mortality,Bowel cancer,0.000000,0.000000,0.153307,0.000000,0.000000,1.167542,1.392226,3.459274,8.295657,17.991209,22.109276,47.847485,71.138681,105.404501,146.409948,228.675709,381.948392,377.313049,0.000000,35.624223,20.013812,23.780270
1977,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.506788,2.224624,4.301854,9.459940,17.636115,29.568676,47.645900,76.980119,105.209192,161.468459,222.198018,329.965411,352.719862,0.000000,35.589082,20.542421,24.102727
1978,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.149901,0.163166,0.838352,1.236751,4.654709,9.326924,19.798914,30.905920,48.510693,70.310568,116.277052,176.701612,250.293231,321.471626,336.288597,0.000000,36.853108,21.306874,25.000328
1979,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.149141,0.000000,0.498475,0.857895,2.358743,6.922417,20.971145,28.132645,46.097755,75.990293,115.199652,181.808265,224.595177,292.793777,387.976495,0.000000,36.101665,20.952025,24.387030
1980,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.150032,0.000000,0.000000,0.500138,3.914894,7.234826,19.205068,29.003344,46.192280,77.580343,103.344875,157.545118,226.628895,300.782441,366.474878,0.000000,34.870790,20.119695,23.537027
1981,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.642663,1.285651,3.966853,7.490952,16.961281,28.567889,54.034047,74.354028,111.535310,165.313670,217.532559,318.887352,435.502448,0.000000,36.625407,20.997222,24.608691
1982,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.443813,0.315863,1.285783,3.654677,7.882066,17.731097,31.610558,46.508396,79.814751,110.486298,166.733869,268.943359,291.561128,386.507379,0.000000,36.986435,21.256488,24.917680
1983,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.152785,0.146182,0.623607,0.639998,2.920882,6.125480,12.210354,31.400026,50.595552,87.020760,125.074449,171.649038,232.991209,363.516765,406.630139,0.000000,38.088387,21.829651,25.597789
1984,Male,Mortality,Bowel cancer,0.000000,0.000000,0.143213,0.000000,0.145596,0.306893,1.595283,2.820318,7.142392,14.808928,31.848559,56.206505,84.358754,117.490908,157.821461,236.436038,261.801522,384.144120,0.000000,35.931750,21.121387,24.497192
1985,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.728280,0.299824,1.115629,4.162531,4.435180,20.468101,31.199917,55.312176,83.264188,116.183815,161.839905,241.431172,327.998108,401.147900,0.000000,37.658320,21.778539,25.474109
1986,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.440903,0.440039,1.258465,3.428148,7.113784,18.006330,24.668500,50.151494,89.875113,122.156571,166.711250,226.755661,313.531602,357.276630,0.000000,36.341711,21.313888,24.761736
1987,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.148269,0.574718,1.078973,2.518523,5.157132,17.686633,33.797749,51.791540,93.135545,111.148958,164.395658,235.345391,312.646553,422.022398,0.000000,37.548083,21.780466,25.360791
1988,Male,Mortality,Bowel cancer,0.000000,0.000000,0.155800,0.139199,0.297118,0.141145,1.506678,1.716136,5.367813,13.666596,33.003803,53.024106,94.702739,110.164563,165.043659,235.369712,332.041309,374.818530,0.000000,37.001931,21.450115,25.046585
1989,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.417978,0.733918,2.773344,6.616062,13.477368,28.083660,49.304749,87.189217,114.344166,166.351714,216.292716,330.885215,420.210105,0.000000,36.525269,20.989184,24.531849
1990,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.139387,0.000000,0.558792,0.715151,1.676083,6.401639,12.512960,23.794680,46.603021,79.387736,123.968654,161.091937,233.601015,290.927998,356.060242,0.000000,34.690155,20.076812,23.423404
1991,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.143108,0.000000,0.426908,1.120787,1.957159,5.952944,13.485331,30.661976,46.011184,81.793123,109.326486,160.179261,219.506519,287.870352,345.997286,0.000000,34.186880,19.891060,23.165756
1992,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.288684,0.964793,1.481152,5.207408,10.688519,30.736648,52.168051,78.372934,113.649663,156.039524,219.210226,294.417393,418.604651,0.000000,35.157343,20.169572,23.584479
1993,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.438939,0.959058,2.191669,5.058875,12.948336,25.273337,50.154381,80.594609,119.357112,144.714329,229.384526,270.781398,419.733439,0.000000,34.706624,20.019637,23.336510
1994,Male,Mortality,Bowel cancer,0.000000,0.000000,0.152663,0.000000,0.412184,0.293920,0.818469,2.018239,6.693563,11.219257,26.827151,60.600659,86.388698,127.893053,163.442168,212.436760,286.891500,353.542952,0.000000,35.438402,20.968306,24.264763
1995,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.138555,0.145266,0.823977,1.552453,4.672411,12.161377,23.871901,45.663340,80.369415,116.200020,165.794942,204.272553,282.687586,386.973654,0.000000,33.879202,19.603155,22.800501
1996,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.141886,0.424731,0.696519,1.796158,4.306217,9.514631,23.107649,46.912735,81.229000,125.674533,173.976342,189.132174,274.360143,353.315668,0.000000,33.341421,19.584656,22.637794
1997,Male,Mortality,Bowel cancer,0.000000,0.148696,0.000000,0.000000,0.292385,0.554262,0.706883,1.770396,4.536070,11.739591,22.698368,47.186505,82.570644,112.594164,167.563309,218.482683,252.392179,366.375244,0.000000,33.506294,19.540737,22.661808
1998,Male,Mortality,Bowel cancer,0.000000,0.000000,0.149471,0.000000,0.149974,0.550390,1.716954,2.423942,5.352661,10.433416,17.829973,47.700201,74.612945,109.419686,157.650038,183.358466,292.299453,331.618742,0.000000,31.783767,18.437891,21.511756
1999,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.458271,0.551855,0.573386,1.472667,2.705932,7.136176,18.667073,43.963774,70.825602,105.784068,168.707780,191.058645,242.974291,366.158650,0.000000,30.978873,17.822957,20.752576
2000,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.153956,0.279197,1.420029,2.822357,4.610600,9.197302,19.984203,40.034902,76.336836,108.212314,149.822799,194.783470,263.934828,325.813235,0.000000,30.882376,17.911150,20.861533
2001,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.146166,0.152778,0.288061,0.692088,2.578449,2.603018,10.433637,17.126194,38.475129,69.798605,101.103741,152.569975,201.044190,261.416359,337.974855,0.000000,30.334780,17.306022,20.275729
2002,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.299047,0.439825,1.353337,1.372974,2.281555,8.515899,16.444715,35.355497,56.493436,94.024054,136.685444,196.710822,218.813544,310.786538,0.000000,27.389903,15.536268,18.256190
2003,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.145613,0.000000,0.802435,0.832320,4.104579,9.382772,15.604456,34.595971,61.078907,90.391936,129.008971,181.821243,216.035233,300.641445,0.000000,26.598222,15.219727,17.798973
2004,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.143295,0.142148,0.740643,1.201952,1.526652,3.555097,7.072286,15.178648,29.440940,47.947790,80.581739,120.574998,169.123971,199.124640,265.054069,0.000000,23.953577,13.580446,15.980632
2005,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.277834,0.587642,0.805333,2.055104,2.769542,7.644346,18.514921,25.503574,54.738151,83.659346,120.522894,168.276621,204.040379,283.905462,0.000000,24.663858,14.043846,16.450932
2006,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.362550,1.733444,3.718632,7.654540,15.220200,28.621676,46.648347,77.218056,97.555129,136.402728,175.173958,283.733271,0.000000,21.964195,12.566169,14.682095
2007,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.274126,0.395974,0.830420,0.688457,1.294562,4.150855,4.948522,15.691496,28.129935,41.041586,76.803368,104.439997,156.362522,195.049732,266.851780,0.000000,22.450634,12.605196,14.898160
2008,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.383173,1.316401,0.824169,1.141053,2.282989,6.299180,13.989947,24.711149,43.041325,63.274658,100.106087,137.553222,185.737412,265.889451,0.000000,20.916741,11.712434,13.825116
2009,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.266155,0.368722,0.374385,0.677223,2.511708,4.130855,6.100450,11.704698,25.185922,44.176166,66.685410,93.738055,138.196477,200.037576,263.694791,0.000000,21.147645,11.824285,13.995716
2010,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.242698,0.847079,0.667044,2.266126,2.490647,6.488728,11.467985,22.812153,38.021030,54.737934,99.991280,148.169749,170.127354,270.549611,0.000000,20.275154,11.135707,13.255007
2011,Male,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.133941,0.242875,1.188942,1.170030,1.917658,3.177638,5.103730,10.140246,16.765624,38.939918,64.733381,92.080516,148.213505,173.162899,248.076508,0.000000,19.748666,10.915921,12.964056
1968,Female,Mortality,Bowel cancer,0.000000,0.168775,0.000000,0.191574,0.206539,1.038872,4.550587,4.469111,8.966883,12.833532,22.220414,37.647556,51.175972,82.139272,117.590563,163.333993,249.447248,355.689757,0.000000,28.219902,16.121935,18.989972
1969,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.198038,0.740017,3.009502,4.224947,11.275879,14.602922,26.902821,38.805340,54.268800,81.605271,137.747003,185.314255,265.266497,388.464092,0.000000,30.790820,17.454840,20.591862
1970,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.184863,0.190752,1.164803,3.177672,5.350093,10.555064,17.709267,30.240697,36.674246,54.715820,89.107588,110.324818,191.447588,285.356162,386.136096,0.000000,31.063339,17.651906,20.850219
1971,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.179043,0.357743,0.430237,1.758145,4.916018,8.001032,16.142670,25.425884,34.846916,54.298371,82.617001,118.063754,182.957872,213.910593,383.667953,0.000000,28.691578,16.422586,19.230626
1972,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.174956,0.000000,1.597479,3.164387,4.306470,7.042749,15.668224,27.755602,37.152175,62.001933,70.042855,123.685130,173.941659,278.752582,334.413426,0.000000,29.238173,16.688634,19.676244
1973,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.171955,0.178775,0.378477,3.323403,4.485926,8.249727,13.330496,24.610654,37.300694,54.968048,72.273558,131.014636,197.796208,271.945130,367.857920,0.000000,29.913754,16.710188,19.872799
1974,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.175517,0.912745,0.681606,2.820043,7.026514,14.122843,24.580200,45.769063,55.748223,82.453330,101.514025,207.874503,223.661253,377.542779,0.000000,29.014796,16.444468,19.384454
1975,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.165495,0.346964,0.352275,1.093860,6.708241,9.047342,17.254833,26.133922,37.817582,59.355493,80.072065,121.261991,181.684443,255.565192,339.649625,0.000000,29.433749,16.931030,19.874983
1976,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.162054,0.516730,0.513929,1.904379,2.929709,9.076057,15.096579,26.113479,36.855187,48.597726,78.247893,120.720511,175.234058,271.924622,412.156955,0.000000,29.585921,16.495827,19.561192
1977,Female,Mortality,Bowel cancer,0.000000,0.000000,0.163908,0.000000,0.340354,0.344884,1.957434,3.343962,8.643579,15.110906,26.709052,41.167753,52.908670,76.557776,115.658271,161.486792,248.507844,323.873657,0.000000,27.814460,15.998107,18.788345
1978,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.156574,0.000000,0.000000,0.553530,4.447316,10.056315,14.304993,27.979635,41.754484,54.799346,66.291018,109.878090,170.546777,252.128356,383.369990,0.000000,28.557575,16.106208,19.027694
1979,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.507218,0.712260,4.506159,8.279559,15.072623,24.408552,41.495372,51.637603,69.761105,106.381443,161.341938,228.354769,369.740008,0.000000,27.302013,15.524915,18.262590
1980,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.159973,0.834229,2.066649,4.944057,11.134308,14.664379,25.130281,37.198570,54.470646,83.441170,110.250506,179.999604,229.376587,333.314660,0.000000,28.233454,16.293080,19.101762
1981,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.311513,0.658358,1.322994,3.918382,8.853410,18.976709,25.589616,38.331138,53.844430,75.505731,93.598485,181.971247,244.937149,363.612058,0.000000,28.191626,16.027983,18.893009
1982,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.158507,0.304210,0.483521,1.154382,3.992403,7.824411,12.609131,23.004925,44.876067,52.156034,70.956920,102.762214,163.937480,235.296359,373.081525,0.000000,27.378291,15.508850,18.294072
1983,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.159651,0.000000,0.635952,2.117357,2.861788,8.306184,17.113947,25.867163,37.147897,58.796819,68.321958,110.156695,171.652481,216.985836,328.914582,0.000000,27.220392,15.719168,18.384428
1984,Female,Mortality,Bowel cancer,0.000000,0.000000,0.149855,0.158843,0.000000,0.156467,0.967881,1.551796,8.846093,16.584350,25.135761,36.589535,56.099566,76.170955,109.745999,148.110317,217.847560,326.820945,0.000000,26.439013,15.366154,17.876874
1985,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.153269,0.959684,2.653329,8.254265,13.551088,31.560543,37.706886,53.317356,76.941227,111.111969,160.343516,227.887148,336.670007,0.000000,27.319208,15.713057,18.390744
1986,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.304745,0.149990,1.894202,3.200277,5.260868,16.866663,24.454498,39.654493,56.003523,85.169632,103.466703,160.146062,214.013683,354.163803,0.000000,27.230552,15.785516,18.391262
1987,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,1.465395,1.237517,2.883368,6.718035,12.093189,26.897569,39.214618,54.301198,77.180996,108.905963,151.856471,230.245353,325.122950,0.000000,26.632630,15.367625,17.976070
1988,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.302665,2.521766,5.438453,13.555397,23.848514,39.611695,49.991218,75.003037,110.272541,161.273086,191.386818,275.515213,0.000000,24.948531,14.488422,16.903908
1989,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.144713,0.455452,0.424704,1.181024,2.013275,4.866441,12.721530,23.639629,34.626806,54.775891,69.996559,101.952139,149.454561,183.096802,307.146733,0.000000,24.400280,14.173165,16.481920
1990,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.597160,0.282975,1.151992,1.980264,4.686831,10.446243,27.190182,33.134987,52.609853,77.748005,103.089736,133.217938,178.718823,287.854255,0.000000,23.817985,14.014913,16.204937
1991,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.150308,0.145003,0.430456,1.545050,1.957363,5.789092,10.345232,21.540666,30.113091,46.205102,78.292261,97.781840,146.783621,192.552350,287.202232,0.000000,23.540683,13.538543,15.834768
1992,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.580757,0.690163,2.216181,5.614517,11.894452,21.471481,33.877005,47.680900,66.076984,104.004872,126.696754,189.645489,278.961777,0.000000,22.911045,13.279680,15.472374
1993,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.158967,0.422581,0.147222,0.685333,2.474610,4.488240,9.791648,19.162749,37.866263,48.759149,69.077324,104.958462,138.042754,191.727254,313.505419,0.000000,23.751554,13.607515,15.919496
1994,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.000000,0.590710,0.955284,1.723757,4.271744,9.421360,17.267487,38.749005,55.356360,74.127936,103.664935,131.167745,181.721133,302.937312,0.000000,23.499368,13.689281,15.879283
1995,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.285261,0.146134,0.960592,2.253251,5.259085,7.810987,18.982816,34.266742,49.244034,70.858665,98.222667,138.478542,180.460232,269.797614,0.000000,22.540591,13.027406,15.208357
1996,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.146206,0.568624,1.387130,1.514271,4.288412,9.887688,18.991012,33.782118,48.745439,64.306131,98.029876,126.544190,187.781673,285.304680,0.000000,22.343286,12.853144,15.016119
1997,Female,Mortality,Bowel cancer,0.000000,0.000000,0.156970,0.000000,0.300593,0.415845,0.842010,1.893279,3.339882,8.128404,17.961081,35.324725,50.866809,67.633898,97.885969,120.333642,175.490563,267.093658,0.000000,21.735382,12.672366,14.715269
1998,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.320839,0.000000,0.137204,0.991757,1.736197,4.721773,10.763038,15.977863,29.000302,47.790951,70.299580,98.109792,136.170977,149.679928,264.874329,0.000000,21.459211,12.508825,14.499605
1999,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.157229,0.000000,1.272891,2.652604,4.503091,7.858321,13.457841,29.335615,41.369162,57.550778,89.331792,120.344271,179.672304,256.107529,0.000000,20.115705,11.386377,13.418676
2000,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.475950,0.138681,1.260497,1.728491,2.621633,8.654043,12.272990,29.332494,44.634026,59.203178,86.267483,125.556523,162.603349,269.410170,0.000000,20.034510,11.394439,13.359526
2001,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.157335,0.428872,1.360267,2.814429,3.917632,6.624096,15.686762,25.377670,36.024032,61.234499,89.005960,112.058533,173.122593,250.995469,0.000000,19.468126,11.028618,12.982770
2002,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.302149,0.309171,0.586755,0.931128,2.168762,3.176877,8.265362,12.272569,21.051840,39.882179,63.910287,89.468496,117.787647,165.691775,250.627900,0.000000,19.328184,10.988538,12.874817
2003,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.150770,0.297167,1.445037,2.052166,4.440254,7.824537,13.074369,18.195308,34.877297,50.699402,77.306542,106.522646,154.083909,233.469914,0.000000,17.466628,9.828286,11.583156
2004,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.147659,0.598239,0.526096,1.368255,4.540978,6.830868,12.162047,19.180924,27.426208,47.638272,72.757671,102.191898,131.433771,224.444614,0.000000,16.097513,9.013644,10.633580
2005,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.143928,0.446518,0.529461,1.895714,2.989350,5.877481,11.402372,14.897396,28.124987,44.511473,69.861240,100.129123,135.710188,217.327888,0.000000,15.413319,8.514820,10.095997
2006,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.294957,0.140446,0.145905,0.675469,1.713060,2.357629,6.031040,9.739211,13.988282,21.724517,43.980096,62.695150,87.297682,132.894570,181.500840,0.000000,13.806788,7.629818,9.073614
2007,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.413499,0.423435,1.505154,1.276776,3.432805,5.773127,10.706638,15.432958,30.582957,46.590008,61.156367,88.402711,142.105657,200.253743,0.000000,14.916214,8.378847,9.889285
2008,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.142075,0.538050,0.540277,0.821537,1.997982,2.649810,6.315906,9.936689,16.318820,26.538136,44.924601,65.546979,85.648611,112.843283,199.818038,0.000000,14.256922,8.095750,9.487005
2009,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.130250,0.644334,0.677444,1.361371,4.464210,6.505144,12.483269,16.514232,23.874524,33.066657,57.606315,81.009809,115.487896,192.447855,0.000000,13.529040,7.576073,8.951575
2010,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.640216,0.499446,0.667895,1.860491,3.487255,4.462937,8.414435,16.524515,19.754045,33.030445,60.410570,81.744329,126.868619,180.385083,0.000000,13.065732,7.144588,8.557678
2011,Female,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.141471,0.000000,0.856703,0.651933,1.768333,2.998141,6.557883,8.483158,14.393314,22.120943,30.207893,44.009450,81.685727,128.619901,189.765515,0.000000,12.671468,6.879784,8.254854
1968,Persons,Mortality,Bowel cancer,0.000000,0.082334,0.000000,0.093805,0.403296,0.752722,3.450317,4.839646,8.299847,13.456178,22.510657,35.800169,60.948894,95.327583,131.922328,189.477988,278.798745,394.035654,0.000000,31.132189,17.664638,20.811783
1969,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.483018,0.595014,2.528280,4.344739,9.113970,14.725372,24.536964,37.556611,55.057632,96.228125,142.346708,203.542441,269.614218,404.552474,0.000000,31.872837,18.000438,21.238426
1970,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.084093,0.090715,0.185935,1.126464,2.829851,5.455143,9.396646,15.432039,25.957926,40.012204,59.696594,90.718570,133.802643,203.610833,275.512547,362.347506,0.000000,31.552801,18.016812,21.232242
1971,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.088005,0.263018,0.519538,1.941821,4.106722,7.468018,15.667223,25.239480,39.416314,57.534390,95.982518,126.427324,209.789866,242.023480,364.559988,0.000000,30.604751,17.500392,20.556108
1972,Persons,Mortality,Bowel cancer,0.000000,0.081014,0.000000,0.085926,0.177226,0.966992,2.936526,4.445950,7.534726,14.552206,26.065963,42.325939,65.929512,91.998777,131.479355,180.724359,270.913652,366.846269,0.000000,30.998149,17.894646,20.946595
1973,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.168850,0.175705,0.551625,2.863246,5.391015,7.697963,13.957047,23.618685,36.222070,65.522884,86.600609,137.208551,214.911876,284.797747,377.694150,0.000000,31.805070,17.922439,21.207137
1974,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.259361,1.066781,1.427894,4.365630,8.612635,13.810230,24.858781,45.867855,65.987917,102.295381,125.563278,220.843815,250.626566,368.425178,0.000000,31.932391,18.400069,21.560116
1975,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.162113,0.257543,0.431212,1.377205,5.317362,9.159041,17.038084,28.451247,40.652730,63.394125,89.286901,149.041229,195.257385,272.738416,378.133373,0.000000,32.233001,18.493993,21.684837
1976,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.078857,0.079316,0.255676,0.845103,1.640375,3.202034,8.674323,16.593233,24.084158,42.296760,59.417909,90.960383,132.074245,195.834075,308.216096,401.896004,0.000000,32.120421,18.060888,21.375593
1977,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.079748,0.000000,0.168178,0.426669,2.094660,3.835715,9.062968,16.414592,28.164232,44.366035,64.474751,89.901731,136.010307,185.157660,275.204726,332.248595,0.000000,31.067726,18.007185,21.078921
1978,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.153165,0.082637,0.423093,0.902547,4.553838,9.682754,17.136257,29.471952,45.094728,62.245274,89.519739,139.500511,202.079598,274.898471,369.925797,0.000000,32.224406,18.478484,21.700656
1979,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.076129,0.000000,0.502809,0.786428,3.405894,7.585556,18.105692,26.311466,43.777560,63.290596,90.866461,139.771215,186.603771,249.632045,374.852171,0.000000,31.074327,17.948267,20.944282
1980,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.076479,0.078793,0.413254,1.270664,4.418583,9.137653,16.991941,27.113007,41.664179,65.514270,92.695412,131.143284,198.789940,253.300740,342.483104,0.000000,30.992660,17.968712,20.995695
1981,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.153626,0.650416,1.304055,3.943090,8.155384,17.942974,27.110452,46.179210,63.606695,92.313545,125.043591,196.461393,269.914289,383.082007,0.000000,31.681737,18.191886,21.335119
1982,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.077580,0.374981,0.398840,1.220928,3.820197,7.853981,15.234084,27.411315,45.694408,65.393176,89.345420,130.846219,206.738498,254.612108,376.679756,0.000000,31.539876,18.091840,21.218942
1983,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.156143,0.074160,0.629719,1.372102,2.891929,7.186820,14.600957,28.700085,43.919009,72.396006,94.638734,137.218258,196.553458,267.957681,349.551165,0.000000,31.656850,18.357682,21.424201
1984,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.146459,0.077675,0.073968,0.232413,1.283327,2.198282,7.972351,15.675031,28.573084,46.502902,69.799604,95.316840,130.937611,183.987060,233.282387,342.082294,0.000000,30.513156,17.948128,20.800926
1985,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.370521,0.227358,1.037796,3.421210,6.298289,17.101158,31.376058,46.638841,67.885597,95.179001,133.523137,193.355032,263.388938,353.907836,0.000000,31.682801,18.414985,21.479523
1986,Persons,Mortality,Bowel cancer,0.000000,0.000000,0.000000,0.000000,0.374053,0.296633,1.575787,3.315723,6.210984,17.452794,24.563989,45.001165,72.557139,102.429006,131.446311,187.398672,249.695987,354.999381,0.000000,31.204181,18.296764,21.228162
